番号,書き（カタカナ入り例文）,漢字（対象漢字）
3-20,カイドウ沿いにいくつかの古い旅館が並んでいた。,街道
4-1,バドミントンはオクナイでするスポーツです。,屋内
4-2,百メートルキョウソウをした。,競走
4-3,野球の試合がカイシされた。,開始
4-4,相手チームをソウテイした練習をする。,想定
4-5,試合でコーチのシレイ通りに動く。,指令
4-6,昨日から帰らない登山グループのアンビが気づかわれている。,安否
4-7,すもうケンブッに行った。,見物
4-8,マラソンてセントウを走る。,先頭
4-9,マラソン大会に多くの人のサンカをつのる。,参加
4-10,スポーツ選手をヨウセイする。,養成
4-11,全員がイチガンとなった結果見事に優勝した。,一丸
4-12,予想に反してウワゼイのあるカ力士の方が負けてしまった。,上背
4-13,九回の裏に同点にされ、エンチョウ戦に入ってしまった。,延長
4-14,おじいちゃんは毎朝ラジオタイソウをしている。,体操
4-15,レギュラーになれたと思ったらまたホケツにもどってしまった。,補欠
4-16,プロ選手のセンレンされたプレーを楽しんだ。,洗練
4-17,ゲキテキな逆転サヨナラ満塁ホームランを目の当たりにした。,劇的
4-18,答えの見当がつかなかったのであっさりコウサンした。,降参
4-19,シッサクがつづいて結局僕たちのチームは負けてしまった。,失策
4-20,天候が良くないので野球大会はジュンエンになった。,順延
5-1,池に映った自分のスガタを見て僕は驚きました。,姿
5-2,今日の注射はとてもイタくて涙が出た。,痛
5-3,父のハナはとても大きい。,鼻
5-4,テレビゲームをやりすぎたせいかシリョクが落ちた。,視力
5-5,飢えと寒さのためひざがコキザみに震え続けた。,小刻
5-6,面接の順番が近づくにつれシンゾウがどきどきしてきた。,心臓
5-7,食事をしてすぐに運動をしたのでヨコバラが痛くなった。,横腹
5-8,重たい荷物をセオって山道を何時間も歩き続けた。,背負
5-9,近い将来ゾウキ移植がもっと一般的になるかもしれない。,臓器
5-10,寒気がするのは風邪のチョウコウだろうか。,兆候
5-11,エイヨウのバランスを考えて食事をしよう。,栄養
5-12,僕は今までに二回もコッセツしたことがある。,骨折
5-13,ケンコウはなによりも大切だ。,健康
5-14,シセイを正しくして勉強すると何だか気持ちがいい。,姿勢
5-15,セイヨウのために、温泉に行った。,静養
5-16,すぐ風邪をひいてしまうというのはトクイ体質なのだろうか。,特異
5-17,けがをしたところにホウタイをまいた。,包帯
5-18,僕は脂肪をキュウシュウしやすい体質なのだろうか。,吸収
5-19,消化キカンがじょうぶだと何を食べてもおいしい。,器官
5-20,どうも体のグアイがよくない。,具合
6-1,人間には、目や耳などのカンカクキカンがあります。,感覚器官
6-2,父のセナカがなんだか淋しそうに見えたのでした。,背中
6-3,僕の祖父は僕が生まれる前にナくなっていました。,亡
6-4,変なかっこうをしたのでスジをちがえてしまったようだ。,筋
6-5,ヒタイに手を当てて考えた。,額
6-6,深くキザまれた顔のしわがその人の人生を語っていた。,刻
6-7,外国からのお客さんをエガオで迎えた。,笑顔
6-8,サッカーボールが僕のガンメンに飛んできた。,顔面
6-9,遅刻して部屋に入ったぼくはみんなの冷たいシセンを感じた。,視線
6-10,あんまりシンコクな顔をしないで肩の力をぬこう。,深刻
6-11,のぼせてハナヂが出てしまった。,鼻血
6-12,病気一つしないキョウケンな体を持っている。,強健
6-13,かぜをひいたらしく、サムケがする。,寒気
6-14,わたしの右利きはコウテンテキなものだ。,後天的
6-15,どちらが強いかケッチャクをつけよう。,決着
6-16,バレーボールの試合にハイボクしてしまった。,敗北
6-17,ワタエコさんはあまい、からいというミカクがするどい。,味覚
6-18,エイコさんはピアノがジョウズだ。,上手
6-19,それをするには、ちょっとしたギジュツが必要だ。,技術
6-20,男が気合を入れるといすがチュウに浮いた。,宙
7-1,そろそろガソリンをオギナっておこう。,補
7-2,母が車をウンテンする。,運転
7-3,オートバイのシャリンをはずして修理した。,車輪
7-4,学校てイチリンシャに乗る練習をした。,一輪車
7-5,キカンシャが高原を走っている。,機関車
7-6,赤信号で車はテイシしなければならない。,停止
7-7,遠くからキテキが聞こえてきた。,汽笛
7-8,たった今、飛行機がクウコウから飛び立った。,空港
7-9,生まれて初めてキュウキュウシャに乗った。,救急車
7-10,自動車が道の真ん中てコショウした。,故障
7-11,僕と姉のケンヨウの自転車が盗まれた。,兼用
7-12,父は電車でツウキンしている。,通勤
7-13,ウンチンを間違えて切符を買い、自動改札てとめられた。,運賃
7-14,この駅は朝は多くのジョウコウ客でごったがえす。,乗降
7-15,新幹線のシャソウに夜の景色が流れていく。,車窓
7-16,箱根の芦ノ湖てユウランセンに乗って湖を一周した。,遊覧船
7-17,飛行機でたくさんの荷物をユソウする。,輸送
7-18,駅員がカクセイ器を使って電車の遅れを乗客に伝えた。,拡声
7-19,五番線に電車がトウチャクした。,到着
7-20,台風が近づいているため、これ以上のコウコウはむずかしいだろう。,航行
8-1,デパートの中は、エアコンのおかげて外よりもかなりアタタかい。,暖
8-2,近所にジンコウスキー場がてきてほしい。,人工
8-3,五十階建てのビルがカンセイした。,完成
8-4,ハクブツカンへ恐竜の化石を見に行った。,博物館
8-5,たくさんの人々の労力によって城はキズかれた。,築
8-6,食料品売り場のある地下一階までエレベーターでオリて行った。,降
8-7,新宿にはたくさんのコウソウ建築が立ち並んでいる。,高層
8-8,自動ドアのカイヘイには気をつけてください。,開閉
8-9,エレベーターがなかなか来ないのでカイダンて行こう。,階段
8-10,ビルの解体工事が行われ、中のテッキンがむき出しになった。,鉄筋
8-11,新しく出来たビルの最上階はとてもテンボウが良い。,展望
8-12,予算の関係で最初の計画よりビルのキボが小さくなってしまった。,規模
8-13,十二月の間だけ、このビルには美しいショウメイがあてられる。,照明
8-14,五階までエスカレーターでノボることにしよう。,昇
8-15,屋上からのナガめは最高だ。,眺
8-16,ホテルのゲンカンには赤いじゅうたんがしかれていた。,玄関
8-17,新しいドーム球場は五万人の観客をシュウヨウできる。,収容
8-18,この教会の窓には、きれいにサイクされたステンドグラスが使用されている。,細工
9-1,マンションのカンリ人にあいさつをした。,管理
9-2,私の父はイッコグての家を買った。,一戸建
9-3,エンガワにすわって、ひなたぼっこをするのが好きだ。,縁側
9-4,学校が終わってイエジについた。,家路
9-5,旅先からキロにつく。,帰路
9-6,いらないと思って古い食器をスてたのがまずかったようだ。,捨
9-7,僕だけ家で留守番をするハメになった。,羽目
9-8,積もった雪のせいかショウジが何だか明るく見える。,障子
9-9,遠い親戚に突然ライホウされて母はめんくらっていた。,来訪
9-10,ウラニワに大きな桜の木があって毎年美しい花を咲かせる。,裏庭
9-11,おじの家の地下室には、たくさんのワインがチョゾウされている。,貯蔵
9-12,ものをセツヤクして使う。,節約
9-13,家の井戸水の飲料としてのテキヒを保健所に調べてもらった。,適否
9-14,家を新築しましたので近くにおいての時はゼヒお寄りください。,是非
9-15,都心から少し離れた郊外に、ジュウタクチが広がっている。,住宅地
9-16,祖父は家族全員からウヤマわれて幸福に暮らしています。,敬
9-17,私たちはヒラヤ建ての家に住んでいます。,平屋
9-18,父が母にあてたシシンを三通、蔵の中で見つけた。,私信
9-19,母の実家はボクジョウを経営している。,牧場
10-1,先生の質問に対してキチに富んだ答えを返した。,機知
10-2,クラスはいくつかのハンに分かれて活動した。,班
10-3,何でも積極的にこなす前田さんをクラス委員にオした。,推
10-4,前田さんがクラス委員になってから活動がサカんになった。,盛
10-5,今日は学校のソウリツ記念日にあたるのて休校だ。,創立
10-6,委員長は委員会の大きな責任をニナっている。,担
10-7,クラスて共有のものをシヨウに使ってはいけません。,私用
10-8,クラスの代表がエンソウをすることに決まった。,演奏
10-9,先生が急に家庭ホウモンに来ることになった。,訪問
10-10,僕はテツボウが苦手なので毎日練習している。,鉄棒
10-11,運動場で遊んでいたら、上級生がランニュウしてきた。,乱入
10-12,ナンカンを突破して見事合格した。,難関
10-13,激しい議論をした末、ルールはソンゾクすることになった。,存続
10-14,きまりを決して破らないよう先生にケイコクされた。,警告
10-15,せっかくの映画会なのに映写ソウチが故障してしまった。,装置
10-16,父は卒業後三十年目のドウソウカイにてかけていった。,同窓会
10-17,クラブの合宿でキリツ正しい生活を身につけることができた。,規律
10-18,中学の文化祭て兄がテンジ物について説明した。,展示
10-19,学校ての新しい僕の席はマドギワだったのてうれしい。,窓際
10-20,僕のタンニンの先生はとても面白い先生です。,担任
11-1,ニモツの中身は何ですか。,荷物
11-2,そんなヒニクを言わないてくれ。,皮肉
11-3,話し合いはシュウシなごやかに行われた。,終始
11-4,勉強にネッチュウした。,熱中
11-5,イチロウさんはヘイセイをよそおっている。,平静
11-6,このさわぎにヒンジョウして早くにげよう。,便乗
11-7,マコトさんはキョクドにつかれている。,極度
11-8,彼は年れいよりもつけて見える。,老
11-9,準備ができたらアイズをしてください。,合図
11-10,またぼくのきらいなんし暑い夏がやってくる。,蒸
11-11,他人にはアイソよくふるまおう。,愛想
11-12,銚子はとてもインショウのよいところだ。,印象
11-13,サイダイもらさず、電流についての話を聞く。,細大
11-14,最後まてジリキてやりなさい。,自力
11-15,薬をチュウニュウする。,注入
11-16,サイシンの注意をはらって行動すべきだ。,細心
11-17,現代社会のシュクスを見るような光景に出くわした。,縮図
11-18,だれかが大声でヒメイをあげた。,悲鳴
12-1,店の売り上げがバイカした。,倍加
12-2,辺りが静まりかえってとてもブキミだ。,不気味
12-3,海があれて、今日はフリョウだった。,不漁
12-4,妹とチョコレートをビョウドウに分けた。,平等
12-5,医者にいってフンマツの薬をもらってきた。,粉末
12-6,運動会はリレーでユウシュウのビをかざった。,有終
12-7,顕微鏡を友だちからシャクヨウしてゾウリムシを見た。,借用
12-8,彼女がおしゃべりなのはシュウチの事実だ。,周知
12-9,シュウイを見回すと、もうだれもいなかった。,周囲
12-10,そんなにおこらないて、すこしレイセイになれ。,冷静
12-11,母におこづかいの値上げをヨウキュウした。,要求
12-12,悪いところをカイリョウする。,改良
12-13,人生をヨウキに生きよう。,陽気
12-14,他人の意見をゴウインに自分にひきよせてはいけない。,強引
12-15,くらやみて人のケハイを感じた。,気配
12-16,私と弟のけんかはニチジョウサハンジだ。,日常茶飯事
12-17,買い物をしてお金がフソクした。,不足
12-18,ツコウが悪くて出席できません。,都合
12-19,これはカッキテキな発明だ。,画期的
13-1,いす一つだけとは、なんともサップウケイな部屋だ。,殺風景
13-2,世の中にはフシギなことがたくさんある。,不思議
13-3,ぼくはブキヨウなのて図工は苦手だ。,不器用
13-4,家で、アジケない一日を過ごした。,味気
13-5,ミヂカにある歴史の本をひもとく。,身近
13-6,それはあまりにもシュカンテキなものの見方だ。,主観的
13-7,勉強をしなければヒツゼンテキに成績が下がる。,必然的
13-8,くつを左右ギャクにはいてしまった。,逆
13-9,中東 は石油がホウフにとれる。,豊富
13-10,空をかもめのクイグンが飛んでいる。,大群
13-11,この問題はとてもヤサしい。,易
13-12,ケッカがどうであれ、いっしょうけんめいがんばろう。,結果
13-13,彼は、むりなたのみをココロヨく引き受けてくれた。,快
13-14,本当にそうなのかタシかめる。,確
13-15,新しいやり方にも、だいぶナれた。,慣
13-16,部屋の温度を一定にタモつ。,保
13-17,虫歯をフセぐためにも、食事の後に歯をみがくようにしよう。,防
13-18,多くの人に分けたのに、まだアマっている。,余
13-19,どうやら道にマヨったらしい。,迷
14-1,信号が変わって、車が急にハッシンする。,発進
14-2,島のエンガンにはオリーブ畑が広がっていた。,沿岸
14-3,ゲンジュウに警備されている部屋にしのびこんだ。,厳重
14-4,席が無くなりそうだったのであわてて近くにスワった。,座
14-5,落ちないようにかばんをニダイにくくりつける。,荷台
14-6,ロジョウで遊んてはあぶないよ。,路上
14-7,周りを完全にホウイされてしまった。,包囲
14-8,タテモノの中に入った。,建物
14-9,ここはギョギョウのさかんな町です。,漁業
14-10,船は北北西にシンロをとり横浜へと向かった。,針路
14-11,道路がジュウオウに走っている近代都市。,縦横
14-12,取りにいけないので、ユウソウしていただけませんか。,郵送
14-13,ガイロ樹が美しく並ぶ通りを散歩した。,街路樹
14-14,駅まてのミチスジをくわしく教えてくださいませんか。,道筋
14-15,駅のカイサツまで、父をむかえに行った。,改札
14-16,ホームにひかり号がテイシャしている。,停車
14-17,道路のクカク整理をする。,区画
14-18,新幹線に乗って、キセイした。,帰省
14-19,新しい交通ヒョウゴをみんなで考えた。,標語
14-20,あらゆる悪のコンゲンを断たなければならない。,根源
15-1,となりの家の宅配便をアズかった。,預
15-2,夏になると電力のショウヒ量が増える。,消費
15-3,ヘイワはなによりも大切だ。,平和
15-4,コンビニエンスストアはネンジュウムキュウだ。,年中無休
15-5,あんなにすごい人がいるなんてセケンは広いな。,世間
15-6,世の中はますますベンリになっていくようだ。,便利
15-7,地方ジチタイのしくみについて勉強する。,自治体
15-8,現在では企業間のキョウソウがはげしい。,競争
15-9,自分さえ良ければいいというフウチョウはなげかわしい。,風潮
15-10,順番を待っているときは、きちんとセイレツしなさい。,整列
15-11,よばれたらヘンジをしなさい。,返事
15-12,人は最後にはゴクラクに行けると言われている。,極楽
15-13,チョスイチの近くて遊んてはあぶないよ。,貯水池
15-14,シンゴウを守って道路をわたろう。,信号
15-15,ケンゼンな精神を持つことが望ましい。,健全
15-16,駅前に自転車をホウチしてはいけない。,放置
15-17,ヨウシキにこだわらないて手紙を書いた。,様式
15-18,ジュウライのやり方ではどうしても壁に突き当たってしまう。,従来
15-19,みんなに迷惑をかけないように時間はゲンシュすること。,厳守
15-20,キンロウは国民の三大義務の一つだ。,勤労
16-1,キョウヨウのある人とつきあいたいものだ。,教養
16-2,僕は、君とはアイハンする意見をもっている。,相反
16-3,彼のやり方にはフクジュウするしかない。,服従
16-4,一生懸命お願いして、やっとデンにしていただいた。,弟子
16-5,セダイがちがうと、ものの考え方もちがう。,世代
16-6,成績のジュンイにあまりこだわらないて勉強する。,順位
16-7,うけたごオンは、一生忘れません。,恩
16-8,彼はテキか味方かわからない。,敵
16-9,師の教えにソムいたため天罰がくだったようだ。,背
16-10,これから先は私の命令にシタがってください。,従
16-11,僕はみんなに「ペーちゃん」とヨばれている。,呼
16-12,友達の誕生パーティーにショウダイされた。,招待
16-13,近所のおばさんに会ったので軽くエシャクした。,会釈
16-14,あいつに対抗するために君と僕とでトウメイを結はないか。,同盟
16-15,部下のウラギリに、飼い犬に手をかまれた思いをした。,裏切
16-16,二十年ぶりに故郷に帰ったら幼なじみ達にカンタイされた。,歓待
16-17,この神社にはエン結びの神様がまつられている。,縁
16-18,返さないていいと言ったのに、ギリ堅く返しにきた。,義理
17-1,こわいと思っていたがアンガイやさしい人だ。,案外
17-2,人からはよくイクジなしと言われる。,意気地
17-3,こわくなってイチモクサンににげだした。,一目散
17-4,だいじょうぶだろうとラッカンしている。,楽観
17-5,自分のケッテンをなくすように努力する。,欠点
17-6,弟のねばり強さにはコンマけした。,根負
17-7,わたしはチテキで思いやりのある人になりたい。,知的
17-8,彼の意志はとてもキョウコだ。,強固
17-9,わたしはロがタッシャだとよく言われる。,達者
17-10,ふたごなのにダイショウ的な性格だ。,対照的
17-11,あまりものごとをヒカン的に考えてはいけない。,悲観的
17-12,ヒソウ的なものの見方をしては真実を見ぬけない。,皮相的
17-13,礼儀正しく、ヒンコウホウセイな人だ。,品行方正
17-14,うまくいかずにヨワネをはいた。,弱音
17-15,マコトさんはジンボウが厚い。,人望
17-16,間違いがあればすぐにセセイするのが彼のいいところだ。,是正
17-17,弟はメイロウな性格だが僕はどちらかというと暗い性格だ。,明朗
17-18,ジコ満足て作ったものは他人に評価されにくい。,自己
18-1,武田信玄という武将が、今のヤマナシ県辺りを治めていた。,山梨
18-2,イバラキ県にある偕楽園は、日本三名園の一つに数えられる。,茨城
18-3,グンマ県の地形は、羽を広げた鶴の形によく似ている。,群馬
18-4,「とちおとめ」というイチゴは、トチギ県で生まれた。,栃木
18-5,サイタマ県を本拠地にしているサッカーと野球のブロのチームがある。,埼玉
18-6,ニイガタ県の佐渡島には、かつてトキがたくさんいた。,新潟
18-7,フクイ県て、恐竜の化石が発掘された。,福井
18-8,白川郷合掌造り集落は、ギフ県にある世界遺産である。,岐阜
18-9,シガ県には、「琵琶湖」という日本一大きい湖がある。,滋賀
18-10,ナラ県といえば、東大寺が有名だ。,奈良
18-11,たこ焼きとお好み焼きは、オオサカ府を代表する食べ物だ。,大阪
18-12,ワカガワ県て食べたうどんのおいしさに感動した。,香川
18-13,トクシマ県て行われる阿波おどりに参加してみたい。,徳島
18-14,エヒメ県松山市は、夏目漱石の名作「坊っちゃん」ゆかりの地た。,愛媛
18-15,ナガサキ県には、路面電車が走っている。,長崎
18-16,サガ県を旅行したときに、有明海てムツゴロウという魚を見た。,佐賀
18-17,クマモト県はなぜ「火の国」と呼ばれているのだろうか。,熊本
18-18,カゴシマ県は、九州の中て最も面積が広い県だ。,鹿児島
18-19,オキナワ県で見た海は、青くてきれいだった。,沖縄
